chunk_size,chunk_overlap,retriever_k,reranker_n,faithfulness,context_precision,context_recall
1000,200,10,2,0.9,0.3749999999625,0.75
1000,200,10,5,0.5833333333333334,0.29999999997875,0.75
1000,200,20,5,0.7,0.31249999998437494,0.75
