chunk_size,chunk_overlap,retriever_k,reranker_n,use_hyde,faithfulness,context_precision,context_recall
500,100,10,2,False,0.9523809523809524,0.6666666666,0.5555555555555555
500,100,10,2,True,0.9523809523809524,0.6666666666,0.5555555555555555
