chunk_size,chunk_overlap,faithfulness,context_precision,context_recall
300,50,0.6190476190476191,0.36111111109305555,0.6666666666666666
400,80,0.6666666666666666,0.4722222221953703,0.6666666666666666
500,100,0.8333333333333334,0.3888888888703703,0.6666666666666666
