chunk_size,chunk_overlap,retriever_k,reranker_n,faithfulness,context_precision,context_recall
500,100,10,2,0.9523809523809524,0.6666666666,0.5555555555555555
500,100,10,3,0.7857142857142857,0.6666666666,0.5555555555555555
500,100,10,4,0.6666666666666666,0.5833333332875,0.6666666666666666
